epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,366.591,1.51483,2.93089,1.62193,0.4718,0.44457,0.46339,0.29132,1.35285,3.45775,1.42794,0.000272795,0.000272795,0.000272795
2,726.142,1.48606,2.11012,1.56739,0.37281,0.59762,0.46963,0.2353,1.60791,4.16331,1.7857,0.000539563,0.000539563,0.000539563
3,1085.12,1.53597,1.88384,1.63036,0.3212,0.46298,0.33101,0.18739,1.58314,4.67814,1.72481,0.000795335,0.000795335,0.000795335
4,1446.01,1.55032,1.95947,1.6651,0.44794,0.38124,0.36393,0.18021,1.853,4.17008,2.0193,0.00078352,0.00078352,0.00078352
5,1804.02,1.53822,1.74031,1.62206,0.51428,0.53943,0.45195,0.25522,1.73227,2.69506,1.86179,0.000767026,0.000767026,0.000767026
6,2165.48,1.49932,1.68389,1.60543,0.39148,0.42032,0.37319,0.22397,1.67299,5.4951,1.86536,0.000750533,0.000750533,0.000750533
7,2528.18,1.47994,1.52423,1.60105,0.45196,0.641,0.57103,0.30455,1.71309,2.29772,1.76385,0.00073404,0.00073404,0.00073404
8,2888.77,1.44201,1.4541,1.53056,0.60097,0.67018,0.6303,0.36611,1.66307,1.76693,1.71221,0.000717546,0.000717546,0.000717546
9,3247.56,1.47267,1.40895,1.57141,0.64226,0.59397,0.59558,0.34013,1.63225,1.64608,1.66231,0.000701053,0.000701053,0.000701053
10,3607.92,1.42253,1.30037,1.51449,0.58068,0.53309,0.60502,0.32533,1.64938,1.6787,1.62755,0.000684559,0.000684559,0.000684559
11,3968.92,1.35701,1.23657,1.48126,0.62619,0.65324,0.65179,0.33485,1.67619,1.55932,1.72441,0.000668066,0.000668066,0.000668066
12,4329.24,1.39462,1.24931,1.52751,0.62628,0.63818,0.64447,0.3446,1.55871,1.51655,1.63665,0.000651573,0.000651573,0.000651573
13,4687.31,1.35287,1.1695,1.47157,0.65639,0.52537,0.62479,0.31551,1.72988,1.81992,1.75092,0.000635079,0.000635079,0.000635079
14,5047.81,1.27566,1.07192,1.44244,0.60544,0.5979,0.60202,0.28464,1.62903,1.63538,1.64612,0.000618586,0.000618586,0.000618586
15,5404.86,1.2746,1.10312,1.44661,0.6337,0.71998,0.63001,0.31562,1.67069,1.52635,1.69273,0.000602092,0.000602092,0.000602092
16,5766.35,1.25249,1.05374,1.41538,0.60512,0.6707,0.66399,0.3774,1.58454,1.54468,1.6085,0.000585599,0.000585599,0.000585599
17,6126.09,1.25145,1.0318,1.41989,0.68857,0.72629,0.71722,0.37907,1.69518,1.40995,1.71983,0.000569106,0.000569106,0.000569106
18,6486.68,1.2419,1.01997,1.4089,0.6702,0.69815,0.69745,0.3661,1.61727,1.42311,1.66975,0.000552612,0.000552612,0.000552612
19,6849.51,1.21958,0.98283,1.38699,0.59116,0.70807,0.65684,0.37582,1.5092,1.44227,1.57682,0.000536119,0.000536119,0.000536119
20,7211.25,1.19132,0.94711,1.35775,0.63021,0.66276,0.65773,0.38312,1.58793,1.48125,1.69156,0.000519625,0.000519625,0.000519625
21,7571.3,1.18279,0.89445,1.36256,0.7668,0.72739,0.73717,0.44468,1.4035,1.32859,1.50587,0.000503132,0.000503132,0.000503132
22,7932.1,1.16772,0.92714,1.36421,0.77433,0.71354,0.75395,0.42949,1.3917,1.23898,1.47396,0.000486639,0.000486639,0.000486639
23,8293.25,1.16271,0.86816,1.33229,0.73659,0.75274,0.75764,0.47366,1.46176,1.23031,1.5008,0.000470145,0.000470145,0.000470145
24,8681.35,1.12724,0.88235,1.34017,0.76626,0.74639,0.72042,0.40479,1.62835,1.42161,1.67402,0.000453652,0.000453652,0.000453652
25,9042.51,1.11497,0.80369,1.31427,0.75809,0.7433,0.75873,0.45646,1.40899,1.27041,1.55415,0.000437158,0.000437158,0.000437158
26,9403.54,1.08878,0.82365,1.30596,0.77847,0.7523,0.78208,0.47307,1.42626,1.2381,1.56985,0.000420665,0.000420665,0.000420665
27,9762.83,1.08293,0.75909,1.31145,0.81137,0.72988,0.75786,0.47549,1.40343,1.34139,1.56922,0.000404172,0.000404172,0.000404172
28,10124,1.02899,0.72434,1.25437,0.65277,0.74467,0.71286,0.40824,1.56283,1.36754,1.63886,0.000387678,0.000387678,0.000387678
29,10484.2,1.0155,0.71289,1.23468,0.79415,0.74323,0.7743,0.48905,1.32772,1.18243,1.52025,0.000371185,0.000371185,0.000371185
30,10845.4,0.9807,0.69425,1.23221,0.78682,0.78243,0.77511,0.48587,1.3899,1.16985,1.56651,0.000354691,0.000354691,0.000354691
31,11205.5,0.98433,0.69002,1.23529,0.75409,0.73296,0.77269,0.49294,1.31396,1.27412,1.46283,0.000338198,0.000338198,0.000338198
32,11567.5,0.95517,0.70934,1.22671,0.79649,0.70125,0.7626,0.47127,1.35244,1.27738,1.50929,0.000321705,0.000321705,0.000321705
33,11927.2,0.97199,0.70678,1.24869,0.87449,0.78077,0.78145,0.49593,1.32441,1.17904,1.50339,0.000305211,0.000305211,0.000305211
