epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,12290.4,0.94678,0.65342,1.22035,0.89543,0.72688,0.79393,0.48933,1.32924,1.19025,1.55578,0.000288718,0.000288718,0.000288718
35,12651.8,0.92048,0.65048,1.20846,0.8975,0.74124,0.8264,0.50765,1.31977,1.08132,1.54696,0.000272224,0.000272224,0.000272224
36,13013.1,0.87081,0.62439,1.18442,0.82424,0.77476,0.7924,0.50085,1.30755,1.16413,1.54309,0.000255731,0.000255731,0.000255731
37,13370.6,0.89107,0.62426,1.18658,0.81229,0.75957,0.76366,0.50064,1.31844,1.15865,1.5099,0.000239238,0.000239238,0.000239238
38,13730.9,0.85317,0.58579,1.16365,0.79621,0.74072,0.76671,0.5113,1.31284,1.12063,1.51491,0.000222744,0.000222744,0.000222744
39,14093.2,0.86462,0.59716,1.16885,0.82473,0.78594,0.78986,0.50855,1.2988,1.12724,1.50835,0.000206251,0.000206251,0.000206251
40,14454.3,0.82325,0.57204,1.14352,0.92601,0.75007,0.83414,0.53238,1.26291,1.072,1.48022,0.000189757,0.000189757,0.000189757
41,14812.9,0.72986,0.47669,1.09522,0.89657,0.76456,0.83159,0.53495,1.33641,1.08228,1.5486,0.000173264,0.000173264,0.000173264
42,15173.4,0.72901,0.46587,1.07983,0.87268,0.7872,0.82177,0.51413,1.33221,1.10327,1.53852,0.000156771,0.000156771,0.000156771
43,15531.4,0.67294,0.43411,1.0611,0.83099,0.76762,0.8118,0.51093,1.31158,1.09507,1.55408,0.000140277,0.000140277,0.000140277
44,15892.4,0.70524,0.4324,1.05477,0.86862,0.75991,0.81151,0.5032,1.29648,1.13519,1.54139,0.000123784,0.000123784,0.000123784
45,16252.5,0.67729,0.4221,1.05356,0.88754,0.739,0.79469,0.50575,1.314,1.18387,1.5539,0.00010729,0.00010729,0.00010729
46,16612.2,0.63599,0.40142,1.01956,0.8828,0.73226,0.79573,0.52232,1.31439,1.11107,1.55168,9.0797e-05,9.0797e-05,9.0797e-05
47,16971.1,0.62166,0.38637,1.00725,0.8503,0.77064,0.80322,0.52948,1.31728,1.07445,1.57121,7.43036e-05,7.43036e-05,7.43036e-05
48,17331.6,0.61239,0.37587,1.01188,0.89817,0.76265,0.82524,0.5513,1.29383,1.06534,1.56044,5.78102e-05,5.78102e-05,5.78102e-05
49,17691.3,0.60691,0.3792,1.01142,0.91106,0.75271,0.83128,0.56901,1.26796,1.00522,1.54371,4.13168e-05,4.13168e-05,4.13168e-05
50,18053.2,0.58865,0.37665,0.98973,0.9039,0.75591,0.83161,0.56406,1.27928,1.0226,1.55576,2.48234e-05,2.48234e-05,2.48234e-05
